countyname,canonical,n,median_floor_area_m2,pct_masonry,pct_pre1945
Dublin 2,Terrace,496,89.11500000000001,60.483870967741936,43.75
Dublin 20,Apartment,1826,66.13,30.887185104052573,0.7667031763417306
Dublin 20,Bungalow,36,110.525,55.55555555555556,22.22222222222222
Dublin 20,Detached,131,144.4,61.832061068702295,19.84732824427481
Dublin 20,Semi-Detached,1189,106.78,53.32211942809083,3.4482758620689653
Dublin 20,Terrace,889,104.67,53.2058492688414,11.473565804274466
Dublin 21,Apartment,2,85.91,0.0,0.0
Dublin 21,Bungalow,1,76.58,100.0,0.0
Dublin 21,Semi-Detached,3,76.9,100.0,0.0
Dublin 22,Apartment,4030,72.82499999999999,26.352357320099255,0.07444168734491315
Dublin 22,Bungalow,64,93.27000000000001,57.8125,21.875
Dublin 22,Detached,284,119.095,54.5774647887324,6.690140845070422
Dublin 22,Semi-Detached,3782,94.58,46.906398730830254,1.718667371760973
Dublin 22,Terrace,6069,83.96,49.51392321634536,0.5272697314219805
Dublin 23,Semi-Detached,1,152.17,0.0,0.0
Dublin 23,Terrace,3,79.7,100.0,0.0
Dublin 24,Apartment,8543,68.81,23.73873346599555,0.0
Dublin 24,Bungalow,302,75.58500000000001,55.62913907284768,5.960264900662252
Dublin 24,Detached,828,120.89500000000001,53.62318840579711,2.2946859903381642
Dublin 24,Semi-Detached,7414,104.63,46.78985702724575,0.6339357971405449
Dublin 24,Terrace,8946,88.5,58.920187793427225,0.2906326849988822
Dublin 3,Apartment,5364,57.74,36.12975391498882,19.7800149142431
Dublin 3,Bungalow,76,108.22999999999999,52.63157894736842,46.05263157894737
Dublin 3,Detached,543,169.5,54.69613259668509,27.440147329650095
Dublin 3,Semi-Detached,1931,135.39,48.990160538581044,44.32936302433972
Dublin 3,Terrace,4315,91.26,52.7694090382387,68.76013904982618
Dublin 4,Apartment,8775,66.13,31.054131054131055,9.344729344729345
Dublin 4,Bungalow,71,86.56,56.33802816901409,15.492957746478872
Dublin 4,Detached,789,186.9,60.07604562737643,25.221799746514574
Dublin 4,Semi-Detached,1458,162.135,52.19478737997256,55.144032921810705
Dublin 4,Terrace,3524,95.445,53.34846765039728,51.22020431328036
Dublin 5,Apartment,2294,60.93,48.38709677419355,0.5231037489102005
Dublin 5,Bungalow,116,104.94,54.310344827586206,20.689655172413794
Dublin 5,Detached,571,143.48,52.53940455341506,8.581436077057793
Dublin 5,Semi-Detached,4692,113.815,45.41773231031543,6.436487638533675
Dublin 5,Terrace,5132,88.49000000000001,58.53468433359315,7.677318784099767
Dublin 6,Apartment,6222,49.77,41.43362262937962,31.854709096753453
Dublin 6,Bungalow,63,81.38,52.38095238095239,12.698412698412698
Dublin 6,Detached,570,179.29000000000002,57.01754385964912,38.24561403508772
Dublin 6,Semi-Detached,1447,158.27,56.39253628196268,60.74637180373186
Dublin 6,Terrace,3188,105.49000000000001,56.46173149309912,55.61480552070264
Dublin 6W,Apartment,1853,63.78,39.17970858067998,18.132757690232058
Dublin 6W,Bungalow,30,98.33500000000001,50.0,13.333333333333334
Dublin 6W,Detached,608,173.14999999999998,50.49342105263158,15.460526315789474
Dublin 6W,Semi-Detached,3022,130.89,44.109861019192586,19.821310390469886
Dublin 6W,Terrace,1596,99.77,50.06265664160401,45.30075187969925
Dublin 7,Apartment,7718,50.0,33.72635397771443,26.807463073335057
